PERIOD,PRODUCTGROUP,ReportingChannel,BRAND,Item,DISPLAY TECHNOL,DISPLAY SIZE,Resolution,LED,HD Types,Smart TV,CURVED,Signal Source,Sales Units,Sales Value EUR,Price EUR,Sales Value <LC>,Price <LC>,Sales Value USD,Price USD
January 2023,PTV/FLAT,Panelmarket,AIWA,AW320,LCD-DISPLAY,32,1366x768,LED,HD Ready,No Smart TV,NOT CURVED,n.a.,202,"43,625",216,"792,747","3,922","46,604",231
January 2023,PTV/FLAT,Panelmarket,AIWA,AW580,LCD-DISPLAY,58,1920x1080,LED,Full HD,No Smart TV,NOT CURVED,n.a.,137,"41,366",302,"751,696","5,487","44,191",323
January 2023,PTV/FLAT,Panelmarket,AIWA,AW500,LCD-DISPLAY,50,1920x1080,LED,Full HD,No Smart TV,NOT CURVED,n.a.,182,"75,269",414,"1,367,784","7,531","80,410",443
January 2023,PTV/FLAT,Panelmarket,AIWA,AW400,LCD-DISPLAY,40,1920x1080,LED,Full HD,No Smart TV,NOT CURVED,n.a.,124,"36,393",293,"661,322","5,333","38,878",314
January 2023,PTV/FLAT,Panelmarket,AIWA,AW390,LCD-DISPLAY,39,1366x768,LED,HD Ready,No Smart TV,NOT CURVED,n.a.,132,"17,553",133,"318,979","2,413","18,752",142
January 2023,PTV/FLAT,Panelmarket,AIWA,AW420,LCD-DISPLAY,42,1920x1080,LED,Full HD,No Smart TV,NOT CURVED,DVB-T/T2,40,"10,987",275,"199,656","4,991","11,737",293
January 2023,PTV/FLAT,Panelmarket,AIWA,AW600U,LCD-DISPLAY,60,3840x2160,LED,Ultra HD/4k (3840x2160p),No Smart TV,NOT CURVED,n.a.,3,"1,100",367,"19,997","6,666","1,176",392
January 2023,PTV/FLAT,Panelmarket,AIWA,AW550US/A,LCD-DISPLAY,55,3840x2160,LED,Ultra HD/4k (3840x2160p),Smart TV,NOT CURVED,DVB-T,1,440,440,"7,999","7,999",470,470
January 2023,PTV/FLAT,Panelmarket,CONDERE,32V01,LCD-DISPLAY,32,1366x768,LED,HD Ready,No Smart TV,NOT CURVED,DVB-T,15,"1,125",75,"20,435","1,362","1,201",80
January 2023,PTV/FLAT,Panelmarket,DIGIMARK,DGM-AE32,LCD-DISPLAY,32,1366x768,LED,HD Ready,No Smart TV,NOT CURVED,n.a.,28,"3,049",111,"55,410","2,009","3,257",118
January 2023,PTV/FLAT,Panelmarket,ECCO SHOES,LC-20,LCD-DISPLAY,19,1280x768,NO LED,HD Ready,No Smart TV,NOT CURVED,DVB-T,1,71,71,"1,299","1,299",76,76
